Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,107,8,Some Random Commen with Id 0
1,0,1,105,5,Some Random Commen with Id 1
2,0,1,86,7,Some Random Commen with Id 2
3,0,1,67,3,Some Random Commen with Id 3
4,0,1,150,3,Some Random Commen with Id 4
5,1,1,198,0,Some Random Commen with Id 5
6,1,1,172,6,Some Random Commen with Id 6
7,1,1,17,9,Some Random Commen with Id 7
8,1,1,87,4,Some Random Commen with Id 8
9,1,1,117,9,Some Random Commen with Id 9
10,1,1,66,0,Some Random Commen with Id 10
11,2,2,164,5,Some Random Commen with Id 11
12,3,6,81,6,Some Random Commen with Id 12
13,3,6,46,7,Some Random Commen with Id 13
14,3,6,134,0,Some Random Commen with Id 14
15,3,6,75,8,Some Random Commen with Id 15
16,3,6,123,0,Some Random Commen with Id 16
17,4,8,141,7,Some Random Commen with Id 17
18,4,8,193,7,Some Random Commen with Id 18
19,4,8,111,4,Some Random Commen with Id 19
20,4,8,100,0,Some Random Commen with Id 20
21,4,8,108,2,Some Random Commen with Id 21
22,4,8,97,5,Some Random Commen with Id 22
23,5,4,93,0,Some Random Commen with Id 23
24,5,4,9,9,Some Random Commen with Id 24
25,7,6,38,7,Some Random Commen with Id 25
26,7,6,97,4,Some Random Commen with Id 26
27,7,6,186,8,Some Random Commen with Id 27
28,7,6,164,1,Some Random Commen with Id 28
29,7,6,160,6,Some Random Commen with Id 29
30,8,2,148,5,Some Random Commen with Id 30
31,8,2,80,4,Some Random Commen with Id 31
32,8,2,53,7,Some Random Commen with Id 32
33,8,2,42,2,Some Random Commen with Id 33
34,8,2,185,4,Some Random Commen with Id 34
35,8,2,193,0,Some Random Commen with Id 35
36,8,2,50,2,Some Random Commen with Id 36
37,8,2,51,8,Some Random Commen with Id 37
38,9,1,24,8,Some Random Commen with Id 38
39,9,1,29,7,Some Random Commen with Id 39
40,9,1,39,2,Some Random Commen with Id 40
41,9,1,24,4,Some Random Commen with Id 41
42,9,1,74,9,Some Random Commen with Id 42
43,9,1,199,6,Some Random Commen with Id 43
44,9,1,135,2,Some Random Commen with Id 44
45,9,1,164,8,Some Random Commen with Id 45
46,9,1,91,0,Some Random Commen with Id 46
47,10,7,69,5,Some Random Commen with Id 47
48,10,7,138,6,Some Random Commen with Id 48
49,10,7,117,5,Some Random Commen with Id 49
50,10,7,24,6,Some Random Commen with Id 50
51,10,7,151,6,Some Random Commen with Id 51
52,10,7,158,6,Some Random Commen with Id 52
53,11,0,50,9,Some Random Commen with Id 53
54,11,0,59,9,Some Random Commen with Id 54
55,11,0,169,7,Some Random Commen with Id 55
56,12,7,151,7,Some Random Commen with Id 56
57,12,7,163,6,Some Random Commen with Id 57
58,12,7,99,2,Some Random Commen with Id 58
59,12,7,69,4,Some Random Commen with Id 59
60,12,7,3,0,Some Random Commen with Id 60
61,12,7,192,1,Some Random Commen with Id 61
62,14,6,16,3,Some Random Commen with Id 62
63,14,6,113,8,Some Random Commen with Id 63
64,14,6,12,3,Some Random Commen with Id 64
65,14,6,136,5,Some Random Commen with Id 65
66,14,6,46,9,Some Random Commen with Id 66
67,14,6,35,2,Some Random Commen with Id 67
68,14,6,105,0,Some Random Commen with Id 68
69,15,3,133,9,Some Random Commen with Id 69
70,15,3,119,1,Some Random Commen with Id 70
71,15,3,149,8,Some Random Commen with Id 71
72,15,3,24,8,Some Random Commen with Id 72
73,15,3,103,8,Some Random Commen with Id 73
74,15,3,105,1,Some Random Commen with Id 74
75,15,3,55,3,Some Random Commen with Id 75
76,15,3,146,7,Some Random Commen with Id 76
77,16,8,140,4,Some Random Commen with Id 77
78,16,8,177,7,Some Random Commen with Id 78
79,16,8,196,1,Some Random Commen with Id 79
80,16,8,71,8,Some Random Commen with Id 80
81,16,8,25,2,Some Random Commen with Id 81
82,16,8,4,8,Some Random Commen with Id 82
83,16,8,82,3,Some Random Commen with Id 83
84,18,7,88,2,Some Random Commen with Id 84
85,18,7,34,7,Some Random Commen with Id 85
86,18,7,146,5,Some Random Commen with Id 86
87,18,7,17,1,Some Random Commen with Id 87
88,18,7,67,9,Some Random Commen with Id 88
89,18,7,60,1,Some Random Commen with Id 89
90,18,7,140,5,Some Random Commen with Id 90
91,18,7,189,7,Some Random Commen with Id 91
92,19,5,41,3,Some Random Commen with Id 92
93,19,5,169,3,Some Random Commen with Id 93
94,19,5,89,9,Some Random Commen with Id 94
95,19,5,166,9,Some Random Commen with Id 95
96,19,5,117,5,Some Random Commen with Id 96
97,19,5,1,1,Some Random Commen with Id 97
98,19,5,150,2,Some Random Commen with Id 98
99,19,5,175,2,Some Random Commen with Id 99
100,19,5,14,4,Some Random Commen with Id 100
101,20,3,151,6,Some Random Commen with Id 101
102,20,3,104,2,Some Random Commen with Id 102
103,20,3,124,2,Some Random Commen with Id 103
104,21,9,160,1,Some Random Commen with Id 104
105,21,9,59,5,Some Random Commen with Id 105
106,22,1,102,2,Some Random Commen with Id 106
107,22,1,160,3,Some Random Commen with Id 107
108,22,1,147,6,Some Random Commen with Id 108
109,22,1,8,2,Some Random Commen with Id 109
110,22,1,47,3,Some Random Commen with Id 110
111,22,1,169,0,Some Random Commen with Id 111
112,23,2,136,1,Some Random Commen with Id 112
113,23,2,114,6,Some Random Commen with Id 113
114,23,2,45,0,Some Random Commen with Id 114
115,23,2,10,3,Some Random Commen with Id 115
116,23,2,64,8,Some Random Commen with Id 116
117,25,0,9,1,Some Random Commen with Id 117
118,26,8,37,0,Some Random Commen with Id 118
119,26,8,186,9,Some Random Commen with Id 119
120,26,8,119,1,Some Random Commen with Id 120
121,26,8,25,0,Some Random Commen with Id 121
122,26,8,114,0,Some Random Commen with Id 122
123,27,6,40,8,Some Random Commen with Id 123
124,27,6,36,1,Some Random Commen with Id 124
125,27,6,152,7,Some Random Commen with Id 125
126,27,6,111,7,Some Random Commen with Id 126
127,28,5,19,2,Some Random Commen with Id 127
128,28,5,122,3,Some Random Commen with Id 128
129,28,5,186,8,Some Random Commen with Id 129
130,28,5,77,1,Some Random Commen with Id 130
131,28,5,39,0,Some Random Commen with Id 131
132,28,5,119,2,Some Random Commen with Id 132
133,28,5,163,0,Some Random Commen with Id 133
134,28,5,21,6,Some Random Commen with Id 134
135,28,5,99,0,Some Random Commen with Id 135
136,29,7,106,8,Some Random Commen with Id 136
137,29,7,67,5,Some Random Commen with Id 137
138,29,7,95,6,Some Random Commen with Id 138
139,29,7,109,3,Some Random Commen with Id 139
140,29,7,131,0,Some Random Commen with Id 140
141,30,4,49,0,Some Random Commen with Id 141
142,30,4,28,2,Some Random Commen with Id 142
143,30,4,138,1,Some Random Commen with Id 143
144,30,4,155,8,Some Random Commen with Id 144
145,30,4,188,4,Some Random Commen with Id 145
146,30,4,146,0,Some Random Commen with Id 146
147,31,0,59,0,Some Random Commen with Id 147
148,31,0,178,9,Some Random Commen with Id 148
149,31,0,50,7,Some Random Commen with Id 149
150,31,0,64,3,Some Random Commen with Id 150
151,31,0,9,2,Some Random Commen with Id 151
152,32,1,75,1,Some Random Commen with Id 152
153,32,1,67,3,Some Random Commen with Id 153
154,32,1,61,4,Some Random Commen with Id 154
155,32,1,102,0,Some Random Commen with Id 155
156,32,1,132,2,Some Random Commen with Id 156
157,32,1,43,7,Some Random Commen with Id 157
158,32,1,55,7,Some Random Commen with Id 158
159,32,1,133,5,Some Random Commen with Id 159
160,32,1,146,0,Some Random Commen with Id 160
161,33,6,115,0,Some Random Commen with Id 161
162,33,6,91,7,Some Random Commen with Id 162
163,33,6,141,6,Some Random Commen with Id 163
164,33,6,10,5,Some Random Commen with Id 164
165,33,6,143,3,Some Random Commen with Id 165
166,33,6,126,2,Some Random Commen with Id 166
167,33,6,33,9,Some Random Commen with Id 167
168,33,6,195,8,Some Random Commen with Id 168
169,34,0,71,6,Some Random Commen with Id 169
